sample_id,n_Na,r_TM,phi_TM,I_TM,S_TM,phi_cation,Phase_EXP,Phase_DNN,Group,Source
45924,0.67,56.85,59.910411,63.96136,0.801818553,13.77351981,0,0,Train,ICSD
92079,0.7,57.85,58.818586,65.09004,0.422709088,14.12799328,0,0,Train,ICSD
92097,0.7,58.65,59.711474,71.7730497,0.730588061,14.34246147,0,0,Train,ICSD
93469,0.6667,55.60435,60.316386,59.360298,0.762141508,13.7985568,0,0,Train,ICSD
111262,0.5,59.25,59.061437,75.943217,0.897945725,10.13308998,0,0,Train,ICSD
113162,0.67,55.85,60.022655,59.1335,0.562335145,13.79932492,0,0,Train,ICSD
113711,0.8,55.6,57.802343,55.474,0.673011667,15.86730909,0,0,Train,ICSD
116196,0.66,54.955,61.204696,61.20519097,0.790982198,13.86106279,0,0,Train,ICSD
130561,0.66,56.075,60.01584,61.85712,0.198515243,13.59182189,0,0,Train,ICSD
130562,0.64,55.75,60.708322,65.72024,0.325082973,13.33202387,0,0,Train,ICSD
130563,0.67,55.45,60.430958,71.96248,0.500402424,13.89319457,0,0,Train,ICSD
138209,0.67,56,59.893006,58.212,0.325082973,13.76951836,0,0,Train,ICSD
138210,0.67,55.65,60.22518,58.218,0.500402424,13.84588581,0,0,Train,ICSD
145392,0.54,54.71,63.57905,62.183,0.634178636,11.78082458,0,0,Train,ICSD
145393,0.6,54.5,62.63382,61.54,0.693147181,12.89519817,0,0,Train,ICSD
146381,0.67,55.116,60.692665,60.167132,0.757007036,13.95336152,0,0,Train,ICSD
147522,0.6,55.23,61.939911,60.9132,0.844228311,12.75233455,0,0,Train,ICSD
147526,0.6,55.08,62.080977,61.0982,0.922703332,12.78137755,0,0,Train,ICSD
147596,0.6,54.61,62.624325,61.637133,0.742166737,12.89324332,0,0,Train,ICSD
147597,0.6,54.72,62.614829,61.734266,0.777119254,12.89128826,0,0,Train,ICSD
147641,0.667,57.09,61.674606,69.4472762,0.868486425,14.11562475,0,0,Train,ICSD
148427,0.66,56.29,60.268072,59.942465,0.774536973,13.64894502,0,0,Train,ICSD
148428,0.66,56.94,60.12823,60.24263,0.836603952,13.61727492,0,0,Train,ICSD
148429,0.66,57.59,59.988388,60.542795,0.861551684,13.58560482,0,0,Train,ICSD
149008,0.4,54.74,66.212822,64.4123,0.386386706,9.088035119,0,0,Train,ICSD
194426,0.72,57.12,59.851324,65.98181164,0.861779919,14.78679846,0,0,Train,ICSD
235714,0.44,54.4,65.761688,64.566,0.673011667,9.928724166,0,0,Train,ICSD
235715,0.44,54.2,65.960101,64.812,0.897945725,9.958680635,0,0,Train,ICSD
237126,0.57,53.855,63.828977,60.9274,0.647446639,12.48419613,0,0,Train,ICSD
1,0.67,56.3,59.79885484,60.047514,0.486026765,13.74787438,0,0,Test,Literature
2,0.62,56.63592233,60.6716263,63.834342,0.988331961,12.90759146,0,0,Test,Literature
3,0.7,62.2,53.50215517,52.280795,0,12.85100823,0,0,Test,Literature
4,0.833,59.165,57.92219977,71.45792425,0.562335145,16.55609592,0,0,Test,Literature
5,0.7,57.45,60.0084473,67.3161897,0.914285581,14.41379413,0,0,Test,Literature
